index,open,close,high,low,Return
2018-04-08,6879.99,7006.0,7109.13,6855.59,1.846198575374336
2018-04-09,7006.0,6724.99,7185.0,6611.0,-4.010990579503282
2018-04-10,6725.0,6801.0,6890.0,6656.0,1.1302619037351747
2018-04-11,6801.0,6950.46,6990.0,6787.0,2.1976179973533405
2018-04-12,6950.47,7886.0,8012.23,6743.2,13.460116308848624
2018-04-13,7893.99,7946.0,8233.39,7732.0,0.7608419984783232
2018-04-14,7950.0,8038.33,8186.0,7810.0,1.1619682859300262
2018-04-15,8038.32,8325.94,8429.54,7941.0,3.57798199377235
2018-04-16,8325.94,8050.1,8419.0,7867.0,-3.313019310732479
2018-04-17,8050.95,7894.9,8173.7,7825.4,-1.9279263611632236
2018-04-18,7894.9,8168.0,8236.43,7868.0,3.459195176633023
2018-04-19,8166.08,8252.13,8296.0,8080.0,1.029995102840342
2018-04-20,8257.96,8815.0,8930.0,8177.09,6.820905632848739
2018-04-21,8816.1,8832.99,9035.0,8565.0,0.20408394781621375
2018-04-22,8832.99,8770.0,9020.67,8727.68,-0.7131220571969354
2018-04-23,8770.0,8899.0,8985.0,8745.0,1.4709236031926975
2018-04-24,8897.84,9635.05,9636.47,8888.0,8.271154062254183
2018-04-25,9635.0,8830.01,9759.82,8730.0,-8.355327683821045
2018-04-26,8831.57,9237.0,9288.0,8651.62,4.609168053037305
2018-04-27,9237.0,9038.0,9395.0,8909.83,-2.1543791274223234
2018-04-28,9038.0,9356.89,9427.48,8870.0,3.5283248506306597
2018-04-29,9356.89,9422.46,9570.51,9163.74,0.7007670283609269
2018-04-30,9422.42,9218.49,9458.64,9124.99,-2.164721314815865
2018-05-01,9218.49,9069.34,9250.08,8800.49,-1.6179439365883064
2018-05-02,9065.73,9251.0,9268.0,8970.2,2.0030123470947236
2018-05-03,9251.0,9769.68,9844.0,9168.4,5.606745216733322
2018-05-04,9769.62,9718.01,9830.82,9520.85,-0.5288811916050462
2018-05-05,9721.14,9840.71,10020.0,9682.0,1.2626041751346184
2018-05-06,9841.01,9664.52,9970.0,9417.03,-1.790419593708159
2018-05-07,9661.59,9332.99,9689.67,9181.0,-3.4303824711418685
2018-05-08,9332.98,9230.09,9475.7,9060.54,-1.1025405577419378
2018-05-09,9231.29,9300.0,9390.0,8965.0,0.7574140663850537
2018-05-10,9300.0,9079.84,9395.12,9038.0,-2.367311827956986
2018-05-11,9079.84,8437.0,9079.84,8341.0,-7.079860438069396
2018-05-12,8437.0,8510.11,8646.88,8153.0,0.8665402394216093
2018-05-13,8510.12,8695.48,8763.36,8298.0,2.1782327137956914
2018-05-14,8690.01,8647.55,8879.99,8277.0,-0.5512059138770953
2018-05-15,8647.55,8470.65,8859.99,8401.3,-2.045666113523481
2018-05-16,8470.65,8300.1,8495.15,8083.01,-2.0134228187919323
